normalized_title,title,access_type,source_url,evidence,searched_at
condon committee report scientific study of unidentified flying objects,Condon Committee Report (Scientific Study of Unidentified Flying Objects),direct,https://apps.dtic.mil/sti/tr/pdf/AD0680975.pdf,"Search surfaced the full report PDF on DTIC (apps.dtic.mil), an official .mil repository, with Condon's name and the USAF contract number F44620-67-C-0035 visible in the document text.",2026-08-08T05:26:40.245594+00:00
correspondence between edward condon and air force colonel robert hippler,Correspondence between Edward Condon and Air Force Colonel Robert Hippler,direct,http://www.nicap.org/docs/HipplerLetters.pdf,Multiple search results from the Sign Oral History Project's USAF UFO program history cite this NICAP-hosted PDF as containing Hippler's 16 January 1967 letter to Condon plus Robert Low's 27 January 1967 reply.,2026-08-08T05:26:40.245594+00:00
david grusch congressional testimony,David Grusch congressional testimony,direct,https://oversight.house.gov/hearing/unidentified-anomalous-phenomena-implications-on-national-security-public-safety-and-government-transparency/,"Search surfaced the official House Oversight Committee hearing page for the July 26, 2023 UAP hearing listing the witnesses and their testimonies.",2026-08-08T05:26:40.246618+00:00
david grusch s congressional testimony,David Grusch's congressional testimony,direct,https://oversight.house.gov/wp-content/uploads/2023/07/Dave_G_HOC_Speech_FINAL_For_Trans.pdf,"Search surfaced Grusch's written opening statement PDF hosted directly on oversight.house.gov, opening with his identification as a 14-year intelligence officer.",2026-08-08T05:26:40.246618+00:00
epstein files,Epstein files,direct,https://www.justice.gov/epstein,"Search surfaced multiple live justice.gov/epstein/doj-disclosures data-set pages, and a DOJ filing stating all produced materials are available at justice.gov/epstein under the Epstein Files Transparency Act.",2026-08-08T05:26:40.246618+00:00
fbi document on thomas townsend brown,FBI document on Thomas Townsend Brown,direct,https://archive.org/details/tt-brown,"Search surfaced an Internet Archive item explicitly titled as the FBI file on Thomas Townsend Brown, credited to the Federal Bureau of Investigation.",2026-08-08T05:26:40.246618+00:00
flexner report,Flexner Report,direct,https://archive.org/details/medicaleducation00flexiala,"Search surfaced the Internet Archive scan of Flexner's 1910 ""Medical education in the United States and Canada: a report to the Carnegie Foundation for the Advancement of Teaching,"" with full text available.",2026-08-08T05:26:40.247625+00:00
mcmahon act atomic energy act of 1946,McMahon Act (Atomic Energy Act of 1946),direct,https://www.osti.gov/opennet/servlets/purl/16389038.pdf,"Search surfaced a DOE OSTI OpenNet PDF of the Joint Committee on Atomic Energy printing of the Atomic Energy Act of 1946 with amendments, an official government source.",2026-08-08T05:26:40.247625+00:00
national security act of 1947,National Security Act of 1947,direct,https://www.govinfo.gov/content/pkg/COMPS-1493/pdf/COMPS-1493.pdf,"Search surfaced the official GovInfo compilation PDF of the National Security Act of 1947 (Chapter 343; 61 Stat. 496; approved July 26, 1947), as amended.",2026-08-08T05:26:40.247625+00:00
out of the blue,Out of the Blue,direct,https://watch.plex.tv/movie/out-of-the-blue-2003,"Search surfaced a free ad-supported Plex stream of James Fox's UFO documentary ""Out of the Blue"" (2003) narrated by Peter Coyote; no archive.org or government copy appeared.",2026-08-08T05:26:40.247625+00:00
project a119,Project A119,direct,https://archive.org/details/DTIC_AD0425380,"Search surfaced an Internet Archive copy of DTIC report AD0425380, ""A Study of Lunar Research Flights, Volume I"" — the only declassified Project A119 report; The Black Vault also hosts it at theblackvault.com/documentarchive/project-a119-a-study-of-lunar-research-flights/.",2026-08-08T05:26:40.248671+00:00
the phenomenon source author james fox,The Phenomenon (source/author: James Fox),direct,https://watch.plex.tv/movie/the-phenomenon,Search surfaced both the official film site (thephenomenonfilm.com) and a free ad-supported Plex stream of the 2020 James Fox documentary; the Plex page is chosen because it allows the film to actually be viewed for free.,2026-08-08T05:30:14.231727+00:00
the usefulness of useless knowledge source author abraham flexner,The Usefulness of Useless Knowledge (source/author: Abraham Flexner),direct,https://www.ias.edu/sites/default/files/library/UsefulnessHarpers.pdf,"Multiple independent search results (Harvard course notes, Academia.edu bibliography, personal reading lists) cite this Institute for Advanced Study–hosted PDF of Flexner's 1939 Harper's essay; the original Harper's archive page (harpers.org/archive/1939/10/the-usefulness-of-useless-knowledge/) also exists but is behind institutional access.",2026-08-08T05:30:14.232731+00:00
uap disclosure act source author u s senate,UAP Disclosure Act (source/author: U.S. Senate),direct,https://www.congress.gov/amendment/118th-congress/senate-amendment/797/text,"Congress.gov returned the full submitted text of S.Amdt.797 to S.2226 (118th Congress) offered by Schumer, Rounds, Rubio, Gillibrand and Young — the original 2023 UAP Disclosure Act; a later Rounds-Schumer version appears as S.Amdt.2610 to S.4638.",2026-08-08T05:30:14.232731+00:00
unacknowledged source author steven greer,Unacknowledged (source/author: Steven Greer),direct,https://archive.org/details/unacknowledged-2017_202006,The Internet Archive hosts a streamable copy of the 2017 Greer/Mazzola documentary; it is also legally streamable free on Tubi (tubitv.com/movies/100032933/unacknowledged).,2026-08-08T05:30:14.232731+00:00
warren commission report source author president s commission on the assassination of president kennedy,Warren Commission Report (source/author: President's Commission on the Assassination of President Kennedy),direct,https://www.archives.gov/research/jfk/warren-commission-report/toc,"The National Archives hosts the full report online with a chapter-by-chapter table of contents, which is the authoritative official government copy.",2026-08-08T05:30:14.232731+00:00
1943 fbi file on thomas townsend brown source author fbi,1943 FBI file on Thomas Townsend Brown (source/author: FBI),direct,https://archive.org/details/tt-brown,"Search surfaced an Internet Archive copy explicitly labeled 'FBI file: Thomas Townsend Brown' (National Security Internet Archive mirror of released FBI documents); I could not independently confirm from search results that the release is specifically dated 1943, and no matching vault.fbi.gov entry surfaced.",2026-08-08T05:30:14.233741+00:00
2011 study on average sperm count 47 million per milliliter source author unknown,2011 study on average sperm count (47 million per milliliter) (source/author: unknown),direct,https://academic.oup.com/humupd/article/23/6/646/4035689,"The 47.1 million/ml figure traces to Levine et al.'s meta-regression in Human Reproduction Update, which reports adjusted sperm concentration falling from 99.0 million/ml in 1973 to 47.1 million/ml in 2011 — so '2011' is the study's endpoint year rather than its publication year (published 2017); if the podcast truly meant a separate study published in 2011, this link would not match.",2026-08-08T05:30:14.233741+00:00
60 minutes report on havana syndrome source author cbs news,60 Minutes report on Havana syndrome (source/author: CBS News),direct,https://www.cbsnews.com/news/5-year-havana-syndrome-investigation-finds-new-evidence-of-who-might-be-responsible-60-minutes/,"CBS News hosts the 60 Minutes five-year Havana Syndrome investigation reported by Scott Pelley; note CBS has aired several Havana Syndrome segments, so if the podcast referenced a different one, the related CBS page cbsnews.com/news/60-minutes-havana-syndrome-report-finds-u-s-government-tested-energy-weapon/ may be the intended item.",2026-08-08T05:30:14.233741+00:00
american institute of physics oral history interview with edward condon source author american institute of physics,American Institute of Physics oral history interview with Edward Condon (source/author: American Institute of Physics),direct,https://www.aip.org/history-programs/niels-bohr-library/oral-histories/4997-1,"AIP's Niels Bohr Library & Archives hosts the transcript of the Edward Uhler Condon oral history (interviews of Oct 1967, Apr 1968 and Sep 1973) in multiple sessions, with Session I at this URL and Sessions II and III at /4997-2 and /4997-3.",2026-08-08T05:30:14.233741+00:00
ancient apocalypse source author netflix,Ancient Apocalypse (source/author: Netflix),direct,https://www.netflix.com/title/81211003,"Netflix's official title page for the Graham Hancock docuseries surfaced directly in search, alongside Hancock's own series page at grahamhancock.com/ancient-apocalypse/.",2026-08-08T05:30:14.234745+00:00
bob lazar area 51 flying saucers source author jeremy corbell,Bob Lazar: Area 51 & Flying Saucers (source/author: Jeremy Corbell),direct,https://tubitv.com/movies/610453/bob-lazar-area-51-flying-saucers,"Tubi hosts a free, legal stream of Jeremy Corbell's 2018 documentary; JustWatch confirms it is also available free with ads on Roku and other services.",2026-08-08T05:30:14.234745+00:00
charlie rose interview with mikhail gorbachev source author pbs charlie rose,Charlie Rose interview with Mikhail Gorbachev (source/author: PBS / Charlie Rose),direct,https://charlierose.com/videos/18085,"The official Charlie Rose archive hosts a video of Rose's interview with Gorbachev on Russian politics and US-Russia relations; note Rose interviewed Gorbachev more than once, so this may not be the specific episode cited.",2026-08-08T05:30:14.234745+00:00
church committee report source author u s senate select committee to study governmental operations with respect to intelligence activities,Church Committee report (source/author: U.S. Senate Select Committee to Study Governmental Operations with Respect to Intelligence Activities),direct,https://archive.org/details/ChurchCommittee_FullReport,"The Internet Archive hosts the complete final report — all five books, the interim assassinations report and seven hearing volumes; the Senate's own page (senate.gov/about/powers-procedures/investigations/church-committee.htm) gives background but not the full text, and Mary Ferrell (maryferrell.org/php/showlist.php?docset=1014) hosts the 14 published reports as an alternative.",2026-08-08T05:30:14.234745+00:00
cia gateway documents source author cia,CIA Gateway documents (source/author: CIA),direct,https://www.cia.gov/readingroom/document/cia-rdp96-00788r001700210016-5,Multiple search results cite this CIA Reading Room record for the 1983 'Analysis and Assessment of Gateway Process' by Wayne McDonnell; mirrored copies confirmed at archive.org/details/cia-readingroom-document-cia-rdp96-00788r001700210016-5 and The Black Vault (documents2.theblackvault.com/documents/cia/CIA-RDP96-00788R001700210016-5.pdf).,2026-08-08T05:30:14.235765+00:00
condon committee report source author university of colorado u s air force,Condon Committee Report (source/author: University of Colorado / U.S. Air Force),direct,https://www.theblackvault.com/documentarchive/the-full-condon-committee-report-on-ufos-1968/,"The Black Vault hosts the full ~1,500-page 1968 Condon Committee report as a FOIA-repository scan.",2026-08-08T05:30:14.235765+00:00
condon report source author u s air force university of colorado,Condon Report (source/author: U.S. Air Force / University of Colorado),direct,https://files.ncas.org/condon/,"NCAS reproduces the complete 1,465-page 'Scientific Study of Unidentified Flying Objects' in full HTML with the University of Colorado's permission — this and the Black Vault entry above are the same underlying document, listed separately because the two titles were given as separate entries.",2026-08-08T05:30:14.235765+00:00
the phenomenon source author james fox,The Phenomenon (source/author: James Fox),direct,https://tubitv.com/movies/632920/the-phenomenon,Search surfaced a Tubi listing streaming the full 2020 James Fox documentary free with ads (also available on Prime Video and Apple TV as paid options).,2026-08-12T22:58:50.428154+00:00
the usefulness of useless knowledge source author abraham flexner,The Usefulness of Useless Knowledge (source/author: Abraham Flexner),direct,https://faculty.lsu.edu/kharms/files/flexner_1939.pdf,A full PDF of Flexner's 1939 Harper's essay is hosted openly on an LSU faculty page; the essay is also reprinted in a Princeton University Press edition per the Institute for Advanced Study.,2026-08-12T22:58:50.429158+00:00
uap disclosure act source author u s senate,UAP Disclosure Act (source/author: U.S. Senate),direct,https://www.congress.gov/amendment/118th-congress/senate-amendment/797/text,"Congress.gov hosts the official text of S.Amdt.797 to S.2226 (118th Congress), the Schumer–Rounds UAP Disclosure Act of 2023 offered to the NDAA.",2026-08-12T22:58:50.429158+00:00
unacknowledged source author steven greer,Unacknowledged (source/author: Steven Greer),direct,https://tubitv.com/movies/100032933/unacknowledged,Tubi hosts the full 2017 Greer documentary for free streaming; it is also listed on Netflix and Plex.,2026-08-12T22:58:50.430226+00:00
warren commission report source author president s commission on the assassination of president kennedy,Warren Commission Report (source/author: President's Commission on the Assassination of President Kennedy),direct,https://www.archives.gov/research/jfk/warren-commission-report/intro,"The National Archives hosts the official Warren Commission Report online, along with an inventory of the Commission's records.",2026-08-12T22:58:50.430226+00:00
1943 fbi file on thomas townsend brown source author fbi,1943 FBI file on Thomas Townsend Brown (source/author: FBI),direct,https://archive.org/details/tt-brown,The Internet Archive hosts the FBI's released file on Thomas Townsend Brown; The Black Vault also maintains a T. Townsend Brown document tag page.,2026-08-12T22:58:50.431277+00:00
2011 study on average sperm count 47 million per milliliter source author unknown,2011 study on average sperm count (47 million per milliliter) (source/author: unknown),direct,https://academic.oup.com/humupd/article/23/6/646/4035689,"The 47 million/mL figure traces to Levine et al.'s 'Temporal trends in sperm count' meta-regression in Human Reproduction Update, which reports mean concentration falling to roughly that level by 2011; the article is freely readable at Oxford Academic.",2026-08-12T22:58:50.431277+00:00
60 minutes report on havana syndrome source author cbs news,60 Minutes report on Havana syndrome (source/author: CBS News),direct,https://www.cbsnews.com/video/the-60-minutes-investigation-into-havana-syndrome/,CBS News hosts the 60 Minutes Havana Syndrome investigation video and an accompanying article on its findings about a U.S.-tested energy weapon.,2026-08-12T22:58:50.431277+00:00
american institute of physics oral history interview with edward condon source author american institute of physics,American Institute of Physics oral history interview with Edward Condon (source/author: American Institute of Physics),direct,https://www.aip.org/history-programs/niels-bohr-library/oral-histories/4997-1,AIP's Niels Bohr Library & Archives publishes the full transcript of the Edward Uhler Condon oral history sessions (1967–1973) online.,2026-08-12T22:58:50.432284+00:00
ancient apocalypse source author netflix,Ancient Apocalypse (source/author: Netflix),direct,https://www.netflix.com/title/81211003,Netflix's official title page for the Graham Hancock docuseries confirms it streams there; Hancock's own site also links the series.,2026-08-12T22:58:50.432284+00:00
bob lazar area 51 flying saucers source author jeremy corbell,Bob Lazar: Area 51 & Flying Saucers (source/author: Jeremy Corbell),direct,https://tubitv.com/movies/610453/bob-lazar-area-51-flying-saucers,Tubi streams the full 2018 Corbell documentary free; it is also available on Prime Video.,2026-08-12T22:58:50.432284+00:00
charlie rose interview with mikhail gorbachev source author pbs charlie rose,Charlie Rose interview with Mikhail Gorbachev (source/author: PBS / Charlie Rose),direct,https://charlierose.com/videos/17668,"The official Charlie Rose archive hosts a Mikhail Gorbachev interview video, and the site also carries a related 'Remembering Mikhail Gorbachev' compilation.",2026-08-12T22:58:50.433289+00:00
church committee report source author u s senate select committee to study governmental operations with respect to intelligence activities,Church Committee report (source/author: U.S. Senate Select Committee to Study Governmental Operations with Respect to Intelligence Activities),direct,https://www.aarclibrary.org/publib/contents/church/contents_church_reports.htm,The Assassination Archives and Research Center library hosts the complete Church Committee reports; the full report is also scanned on the Internet Archive at archive.org/details/ChurchCommittee_FullReport.,2026-08-12T22:58:50.433289+00:00
cia gateway documents source author cia,CIA Gateway documents (source/author: CIA),direct,https://www.cia.gov/readingroom/document/CIA-RDP96-00788R001700210016-5,"The CIA's own FOIA Reading Room hosts 'Analysis and Assessment of Gateway Process' (CIA-RDP96-00788R001700210016-5), with mirrors on Wikimedia Commons and the Internet Archive.",2026-08-12T22:58:50.433289+00:00
condon committee report source author university of colorado u s air force,Condon Committee Report (source/author: University of Colorado / U.S. Air Force),direct,https://condon.ncas.org/text/intro.htm,The National Capital Area Skeptics host a complete online text edition of the Condon Committee's 'Scientific Study of Unidentified Flying Objects'.,2026-08-12T22:58:50.433289+00:00
condon report source author u s air force university of colorado,Condon Report (source/author: U.S. Air Force / University of Colorado),direct,https://archive.org/details/scientificstudyo0000cond,"The Internet Archive hosts scanned copies of Condon's 'Scientific Study of Unidentified Flying Objects', the same report available in full text at condon.ncas.org.",2026-08-12T22:58:50.434291+00:00
dan sherman s dd 214,Dan Sherman's DD-214,request,https://www.archives.gov/personnel-records-center/ompf-access-public,"No public copy of Sherman's separation document surfaced; DD-214s for former Air Force members are held in the Official Military Personnel File at the National Archives' National Personnel Records Center, whose general-public (FOIA) access page describes how third parties request them.",2026-08-12T23:02:50.971266+00:00
david grusch congressional testimony on uap,David Grusch congressional testimony on UAP,direct,https://www.congress.gov/118/meeting/house/116282/documents/HHRG-118-GO06-Transcript-20230726.pdf,"Congress.gov hosts the official full hearing transcript PDF (HHRG-118-GO06) from the July 26, 2023 House Oversight hearing 'Unidentified Anomalous Phenomena: Implications on National Security, Public Safety, and Government Transparency,' at which Grusch testified.",2026-08-12T23:02:50.971266+00:00
david grusch s complaint to the intelligence community inspector general,David Grusch's complaint to the Intelligence Community Inspector General,direct,https://archive.org/details/grusch_icig,"The Internet Archive item 'grusch_icig' hosts the released unclassified PPD-19 procedural filing/ICIG complaint (dated May 25, 2022) as a PDF, which search results reference directly as 'David Grusch's ICIG Complaint.'",2026-08-12T23:02:50.971266+00:00
dead sea scrolls,Dead Sea Scrolls,direct,https://www.deadseascrolls.org.il/,"The Leon Levy Dead Sea Scrolls Digital Library, run by the Israel Antiquities Authority, provides free high-resolution imaging of the scrolls online.",2026-08-12T23:02:50.972269+00:00
declaration of independence,Declaration of Independence,direct,https://www.archives.gov/founding-docs/declaration-transcript,The National Archives hosts the official transcription (and high-resolution images) of the Declaration of Independence.,2026-08-12T23:02:50.972269+00:00
dorrit hoffleit s memoirs,Dorrit Hoffleit's memoirs,not_found,,,2026-08-12T23:02:50.972269+00:00
eisenhower s farewell address,Eisenhower's Farewell Address,direct,https://www.eisenhowerlibrary.gov/research/online-documents/farewell-address,The Eisenhower Presidential Library (NARA) posts the farewell address documents online; the National Archives also features it as a Milestone Document.,2026-08-12T23:02:50.973272+00:00
fbi files on silas newton and leo gebauer,FBI files on Silas Newton and Leo GeBauer,direct,https://vault.fbi.gov/silas-newton,"The FBI's electronic FOIA library (The Vault) has a released file collection under 'Silas M. Newton,' the Aztec-crash promoter who was prosecuted alongside Leo GeBauer.",2026-08-12T23:02:50.973272+00:00
glowing auras and black money the pentagon s mysterious u f o program,Glowing Auras and Black Money: The Pentagon's Mysterious U.F.O. Program,direct,https://www.nicap.org/reports2/2004_20171216_NYTArt_1.pdf,"NICAP hosts a free PDF reproduction of the December 16, 2017 New York Times article under its exact title.",2026-08-12T23:02:50.973272+00:00
i know what i saw,I Know What I Saw,direct,https://tubitv.com/movies/641027/james-fox-i-know-what-i-saw,Tubi streams James Fox's 2009 documentary 'I Know What I Saw' for free.,2026-08-12T23:02:50.973272+00:00
immaculate constellation,Immaculate Constellation,direct,https://mace.house.gov/immaculateconstellation,Rep. Nancy Mace's official House website hosts a page publishing the 'Immaculate Constellation' document entered into the congressional record.,2026-08-12T23:02:50.974275+00:00
invention secrecy act of 1952,Invention Secrecy Act of 1952,direct,https://www.congress.gov/bill/82nd-congress/house-bill/4687/text,"Congress.gov carries the text of H.R. 4687, the Invention Secrecy Act of 1951 (signed Feb. 1, 1952), and the Library of Congress separately hosts its codification at 35 U.S.C. §§ 181–188 in the 1952 U.S. Code.",2026-08-12T23:02:50.974275+00:00
is the sun conscious,Is the Sun Conscious?,direct,https://www.sheldrake.org/files/pdfs/papers/Is_the_Sun_Conscious.pdf,"Sheldrake's own site hosts the full PDF of the paper as published in Journal of Consciousness Studies, 28, No. 3–4, 2021, pp. 8–28.",2026-08-12T23:02:50.974275+00:00
jfk assassination files,JFK assassination files,direct,https://www.archives.gov/research/jfk/available-online,"The National Archives maintains the JFK Assassination Records Collection online, including the 2025 release batches, free to search and download.",2026-08-12T23:02:50.974275+00:00
mcmahon atomic energy act of 1946,McMahon Atomic Energy Act of 1946,direct,https://www.osti.gov/servlets/purl/1362094,"The Department of Energy's OSTI repository hosts a full-text PDF of the Atomic Energy Act of 1946 (Public Law 585, 79th Congress; 60 Stat. 755).",2026-08-12T23:02:50.975296+00:00
new york times 2017 article on the pentagon ufo program,New York Times 2017 article on the Pentagon UFO program,direct,https://www.nytimes.com/2017/12/16/us/politics/pentagon-program-ufo-harry-reid.html,"Multiple sources cite this exact nytimes.com URL for the Dec. 16, 2017 AATIP story by Cooper, Blumenthal and Kean; a free PDF copy is also mirrored at nicap.org.",2026-08-12T23:02:50.975296+00:00
operation northwoods,Operation Northwoods,direct,https://www.theblackvault.com/documentarchive/operation-northwoods/,"The Black Vault hosts the declassified Joint Chiefs of Staff Northwoods document archive, and NARA's catalog (catalog.archives.gov/id/305036) independently confirms the record.",2026-08-12T23:08:06.428322+00:00
pentacle memo,Pentacle Memo,direct,https://www.eyeofthepsychic.com/pentacle/,"This page reproduces the full text of the 9 January 1953 H.C. Cross (Battelle) memo addressed to Miles Goll at Wright-Patterson, attention Capt. Edward J. Ruppelt.",2026-08-12T23:08:06.429330+00:00
philip k dick s 1977 metz france speech,"Philip K. Dick's 1977 Metz, France speech",direct,https://www.openculture.com/2021/08/hear-philip-k-dicks-famous-metz-speech.html,"Open Culture hosts the audio of Dick's 1977 Metz speech 'If You Find This World Bad, You Should See Some of the Others'; a transcription is also posted on Academia.edu.",2026-08-12T23:08:06.429330+00:00
piri reis map,Piri Reis map,direct,"https://commons.wikimedia.org/wiki/Category:Piri_Reis_Map,_1513",Wikimedia Commons hosts high-resolution scans of the surviving 1513 Piri Reis map fragment (the original is held at Topkapi Palace and inscribed in UNESCO's Memory of the World register).,2026-08-12T23:08:06.429330+00:00
project a119 study of a lunar nuclear detonation,Project A119 (study of a lunar nuclear detonation),direct,https://www.theblackvault.com/documentarchive/project-a119-a-study-of-lunar-research-flights/,The Black Vault's document archive hosts the Air Force-commissioned report 'A Study of Lunar Research Flights' (Project A119).,2026-08-12T23:08:06.429330+00:00
project aquarius document,Project Aquarius document,direct,https://archive.org/details/project-aquarius-document,The Internet Archive hosts scans of the purported Project Aquarius document (a second copy is at archive.org/details/project-aquarius-11-pages).,2026-08-12T23:08:06.429330+00:00
project twinkle report,Project Twinkle report,direct,https://archive.org/details/project-twinkle-november-1951,"The Internet Archive hosts the Air Force Historical Research Agency's copy of the Project Twinkle Final Report, November 1951; Project1947 also mirrors the text.",2026-08-12T23:08:06.430600+00:00
sirhan sirhan s diary,Sirhan Sirhan's diary,request,https://sos.ca.gov/administration/guidelines-access-public-records,"The original notebooks are part of the LAPD Robert F. Kennedy assassination investigation records held by the California State Archives (Secretary of State), whose Public Records Act request page is linked here; federal releases only contain assessments of and excerpts from the diary.",2026-08-12T23:08:06.430600+00:00
telegram from william stephenson to josephine brown,Telegram from William Stephenson to Josephine Brown,not_found,,,2026-08-12T23:08:06.430600+00:00
the g engines are coming,The G Engines Are Coming,direct,https://www.airplanesandrockets.com/magazines/young-men/g-engines-coming-young-men-november-1956.htm,Airplanes and Rockets hosts a scanned/transcribed reproduction of Michael Gladych's 'The G-Engines Are Coming!' from the November 1956 issue of Young Men.,2026-08-12T23:08:06.430600+00:00
the influence of the mystery religions on christianity,The Influence of the Mystery Religions on Christianity,direct,https://kinginstitute.stanford.edu/king-papers/documents/influence-mystery-religions-christianity,"Stanford's Martin Luther King, Jr. Research and Education Institute publishes the full text of this King paper in its online King Papers document collection.",2026-08-12T23:08:06.430600+00:00
the long telegram,The Long Telegram,direct,https://nsarchive.gwu.edu/document/21042-long-telegram-original,"The National Security Archive hosts the original scanned February 22, 1946 Kennan telegram, with a transcript at nsarchive.gwu.edu/document/21043.",2026-08-12T23:08:06.432005+00:00
